trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.7, 'e': 44.800000000000296}",25,0,-228.2357029195034,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
105,False,"{'a': 0.7, 'e': 44.7500000000003}",35,0,-185.39785520030847,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
106,False,"{'a': 0.7, 'e': 44.7000000000003}",35,0,-156.8544916494746,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
107,False,"{'a': 0.7, 'e': 44.650000000000304}",20,0,-134.6487834664915,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
108,False,"{'a': 0.7, 'e': 44.60000000000031}",20,0,-124.61076433993343,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
109,False,"{'a': 0.7, 'e': 44.55000000000031}",25,0,-245.67227875692623,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
110,False,"{'a': 0.7, 'e': 44.50000000000031}",35,17,-116.59537882292443,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 2}",1
111,False,"{'a': 0.7, 'e': 44.450000000000315}",20,0,-127.72257428539768,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
112,False,"{'a': 0.7, 'e': 44.40000000000032}",20,0,-128.18845626160152,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
113,False,"{'a': 0.7, 'e': 44.35000000000032}",30,0,-229.47728794026037,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
114,False,"{'a': 0.7, 'e': 44.300000000000324}",25,0,-201.3179284162984,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
115,False,"{'a': 0.7, 'e': 44.25000000000033}",25,0,-159.16898861390166,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
116,False,"{'a': 0.7, 'e': 44.20000000000033}",20,0,-124.70054884563245,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
117,False,"{'a': 0.7, 'e': 44.15000000000033}",20,0,-81.10838942969573,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
118,False,"{'a': 0.7, 'e': 44.100000000000335}",25,0,-254.44909769326912,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
119,False,"{'a': 0.7, 'e': 44.05000000000034}",35,14,-75.06068217399219,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 0}",1
120,False,"{'a': 0.7, 'e': 44.00000000000034}",20,0,-117.24002832862863,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
121,False,"{'a': 0.7, 'e': 43.950000000000344}",25,0,-111.91642683010863,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
122,False,"{'a': 0.7, 'e': 43.90000000000035}",25,0,-139.64554421329362,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
